Timestamp Offset,Video Name,Location,Vehicle ID,Plate Box (xyxy),Plate English,Plate Devanagari,Confidence
00:03,temp_input_4.mp4,Kathmandu Gate E,134,"[1235, 494, 1283, 518]",O030U,O०३०U,0.1661
00:00,temp_input_5.mp4,Kathmandu Gate F,24,"[745, 313, 787, 328]",DLOBY,DLOबY,0.0167
00:04,temp_input_5.mp4,Kathmandu Gate F,1,"[1023, 289, 1075, 301]",DDODE,DDODE,0.0359
00:00,temp_input_5.mp4,Kathmandu Gate F,1,"[1139, 302, 1196, 323]",L9243,L९२४३,0.3762
00:00,temp_input_5.mp4,Kathmandu Gate F,24,"[825, 337, 872, 354]",L9AAI,L९अअI,0.0074
00:04,temp_input_4.mp4,Kathmandu Gate E,55,"[61, 631, 233, 687]",ALDLOID48R109,अLDLOID४८R१०९,0.2255
00:04,temp_input_5.mp4,Kathmandu Gate F,85,"[1060, 478, 1192, 551]",JEDCON,JEDCON,0.1557
00:05,temp_input_4.mp4,Kathmandu Gate E,55,"[82, 633, 236, 689]",DLDLDLDL0AEI0Q,DLDLDLDL०अEI०Q,0.2491
00:06,temp_input_4.mp4,Kathmandu Gate E,134,"[1029, 408, 1056, 429]",VCDLO,VCDLO,0.0202
00:01,temp_input_5.mp4,Kathmandu Gate F,24,"[1084, 550, 1187, 586]",LLDBCU,LLDबCU,0.0701
00:06,temp_input_4.mp4,Kathmandu Gate E,55,"[59, 639, 239, 684]",ULOLULCUCEI09,ULOLULCUCEI०९,0.3061
00:06,temp_input_4.mp4,Kathmandu Gate E,55,"[133, 618, 304, 666]",AR 44 UE R109,AR ४४ UE R१०९,0.2274
00:02,temp_input_5.mp4,Kathmandu Gate F,187,"[427, 269, 467, 281]",TN U C UC7,TN U C UC७,0.0104
00:02,temp_input_4.mp4,Kathmandu Gate E,134,"[1205, 507, 1253, 535]",HDAC4,HDअC४,0.1950
00:07,temp_input_4.mp4,Kathmandu Gate E,55,"[193, 615, 341, 654]",UTJIUIAUARIOQ,UTJIUIअUअRIOQ,0.2976
